,small_area,geometry,WIMD 2025 overall quintile
50,W01001748,"POLYGON ((-3.239721938936093 51.4983000240365, -3.2392253192618083 51.49724821195326, -3.239613202140259 51.49722507236018, -3.239225188534524 51.496600493343216, -3.238070527416488 51.49668325073663, -3.2382902873091055 51.4958658017564, -3.237227519543471 51.49559738931674, -3.237202342682544 51.49535444097335, -3.2388917099263077 51.49547016056584, -3.2402240221323355 51.49561793073657, -3.2400126485019443 51.49472996397336, -3.2408619148813966 51.49406186981892, -3.241185617283026 51.493990005952924, -3.2418876256028635 51.4934646184983, -3.2436103755344754 51.49367794654694, -3.2439624881724107 51.494718554116176, -3.2446876760415018 51.494616460656616, -3.2450062886440576 51.494201849234294, -3.24517164938157 51.494646102882236, -3.2453806931435762 51.49559924113458, -3.245465429159461 51.49606592229059, -3.2455472546756945 51.49642473093126, -3.247350530356588 51.49751429531688, -3.2461301318612 51.49803036180175, -3.2457198831104592 51.497942643516254, -3.2456982056749712 51.498218557795624, -3.2464824325222423 51.498636787973176, -3.2461391032363034 51.499077710876854, -3.246516315185524 51.49927131735419, -3.245771540187383 51.49967993135158, -3.2464218110448533 51.50001642308274, -3.245264354124711 51.50002787571165, -3.2421208424470875 51.49972238966748, -3.2414119207655663 51.49959874356141, -3.239279286275875 51.498867598576446, -3.2390722473282385 51.49842084615003, -3.239721938936093 51.4983000240365))",2
51,W01001749,"POLYGON ((-3.247488905435816 51.50007717256708, -3.2476497324014915 51.498506493317294, -3.2461301318612 51.49803036180175, -3.247350530356588 51.49751429531688, -3.2455472546756945 51.49642473093126, -3.245465429159461 51.49606592229059, -3.2453806931435762 51.49559924113458, -3.246130609953665 51.49615776624226, -3.2485316332614276 51.49645782813618, -3.2485879589349906 51.49646432660197, -3.249353049390311 51.496165584146596, -3.250081297706231 51.496486320642056, -3.2519143262165384 51.49652141230558, -3.2523589717602523 51.49610872615795, -3.253234050289668 51.496270098424, -3.2534311208452076 51.49569779335588, -3.2558419772638008 51.49570346834117, -3.256325191497353 51.49522182613624, -3.2569264228723513 51.49517808392948, -3.25490682722583 51.49408356291833, -3.255623281526072 51.49332998739545, -3.2552289399710537 51.492655896870154, -3.2550282047805754 51.4920069559528, -3.2556263567230808 51.491965869851036, -3.2578740259423205 51.493001048829605, -3.2597630105255204 51.49453260800116, -3.26031006768708 51.496439698013226, -3.257660391989129 51.49683056912317, -3.2571614928670756 51.49686747200785, -3.2552814236057177 51.49691491407384, -3.256586222011227 51.49892939644731, -3.2551453994393844 51.49892554962031, -3.2551873427497737 51.500632302846945, -3.2546167329154985 51.50075657274289, -3.255135522376827 51.50286323752779, -3.253612062543813 51.502821077998156, -3.2520705610668768 51.5020481543926, -3.2504092823362996 51.50086879330498, -3.2503959443928783 51.50028578106428, -3.247488905435816 51.50007717256708))",2
52,W01001750,"POLYGON ((-3.24517164938157 51.494646102882236, -3.2450062886440576 51.494201849234294, -3.2446876760415018 51.494616460656616, -3.2439624881724107 51.494718554116176, -3.2436103755344754 51.49367794654694, -3.2418876256028635 51.4934646184983, -3.241185617283026 51.493990005952924, -3.2408619148813966 51.49406186981892, -3.2400126485019443 51.49472996397336, -3.2402240221323355 51.49561793073657, -3.2388917099263077 51.49547016056584, -3.2394292187058142 51.49436613217573, -3.238402731391104 51.49498129084242, -3.2370464973712965 51.49503337353169, -3.2344242659641007 51.494584517706194, -3.2346735521336543 51.49414492064232, -3.233755037159524 51.493988000867, -3.2328537428526207 51.49262175382381, -3.2316543266194646 51.49085636015836, -3.231558849017225 51.49071573548302, -3.232926657373251 51.49044267996457, -3.234129269946401 51.49134299778232, -3.2354927461347964 51.49123134540473, -3.23601852447995 51.49147462901362, -3.237439822889432 51.49124559299044, -3.237270659266859 51.49081999098253, -3.237984033084567 51.49057014586111, -3.2398989556027082 51.49107144420276, -3.2405089046244506 51.49064303618762, -3.2403980613098744 51.4903558010751, -3.241961714994223 51.48987402178095, -3.2431217949779696 51.489877356599145, -3.2455792188860584 51.489671445710876, -3.2450844248928847 51.49007585400047, -3.2456752361655066 51.490261979363105, -3.2459551607082604 51.49122469591626, -3.2459469598917403 51.49122557435486, -3.246260426423573 51.491939162283835, -3.247859754269612 51.49301017814887, -3.2476511105972774 51.49328215705023, -3.2485515019670905 51.493860052784555, -3.2486939336844065 51.49442382400295, -3.247775311661053 51.4946214362997, -3.2470763719102713 51.49544633926243, -3.2486633347477274 51.49587683528633, -3.2482157372241245 51.49611934814566, -3.2485316332614276 51.49645782813618, -3.246130609953665 51.49615776624226, -3.2453806931435762 51.49559924113458, -3.24517164938157 51.494646102882236))",1
53,W01001751,"POLYGON ((-3.250081297706231 51.496486320642056, -3.249353049390311 51.496165584146596, -3.2485879589349906 51.49646432660197, -3.2485316332614276 51.49645782813618, -3.2482157372241245 51.49611934814566, -3.2486633347477274 51.49587683528633, -3.2470763719102713 51.49544633926243, -3.247775311661053 51.4946214362997, -3.2486939336844065 51.49442382400295, -3.2485515019670905 51.493860052784555, -3.2476511105972774 51.49328215705023, -3.247859754269612 51.49301017814887, -3.246260426423573 51.491939162283835, -3.2459469598917403 51.49122557435486, -3.2459551607082604 51.49122469591626, -3.247106321899967 51.49110157751725, -3.2470809777396643 51.49048752573036, -3.2474217444180087 51.49042026107504, -3.246939213656591 51.489498884274475, -3.2482036303654698 51.48923044702294, -3.248560213376526 51.489584924078684, -3.249201555865344 51.490558800513035, -3.2487948890485128 51.49160916678642, -3.2513750695600354 51.49113976111761, -3.2517110281297406 51.49126188706072, -3.251387042532767 51.49206841705048, -3.251826036833755 51.4921406301044, -3.2533007487433534 51.492181552192974, -3.2547903220043435 51.492927679840086, -3.2552289399710537 51.492655896870154, -3.255623281526072 51.49332998739545, -3.25490682722583 51.49408356291833, -3.2569264228723513 51.49517808392948, -3.256325191497353 51.49522182613624, -3.2558419772638008 51.49570346834117, -3.2534311208452076 51.49569779335588, -3.253234050289668 51.496270098424, -3.2523589717602523 51.49610872615795, -3.2519143262165384 51.49652141230558, -3.250081297706231 51.496486320642056))",1
54,W01001752,"POLYGON ((-3.23601852447995 51.49147462901362, -3.2354927461347964 51.49123134540473, -3.234129269946401 51.49134299778232, -3.232926657373251 51.49044267996457, -3.235597555533573 51.48931605329657, -3.2359564159960126 51.490850091732426, -3.23751363109772 51.49039310572847, -3.2373607363388324 51.48987351908603, -3.2369999826548175 51.49018005314485, -3.236347153804957 51.49014739679781, -3.2357809978061987 51.489049711711175, -3.2366934944824397 51.4891772446205, -3.2367272915508227 51.488840607203905, -3.239302547091805 51.48899255247279, -3.2390255310272114 51.48779593582691, -3.239797278552952 51.48784752913421, -3.2395340150306797 51.487372138577655, -3.2401430287902286 51.48691359189123, -3.239900324440191 51.48597818005557, -3.2401773707308137 51.48602557422792, -3.2411866558168723 51.48607894808339, -3.2422529355963383 51.48525303767528, -3.2452907670324054 51.48459684234664, -3.24676218355503 51.48493946041905, -3.2485569096333617 51.48677763346856, -3.2486593330401847 51.48752686791557, -3.2496760302378487 51.4886120028198, -3.249176870559567 51.48883653707388, -3.249365687062685 51.48908264034157, -3.2482036303654698 51.48923044702294, -3.246939213656591 51.489498884274475, -3.2474217444180087 51.49042026107504, -3.2470809777396643 51.49048752573036, -3.247106321899967 51.49110157751725, -3.2459551607082604 51.49122469591626, -3.2456752361655066 51.490261979363105, -3.2450844248928847 51.49007585400047, -3.2455792188860584 51.489671445710876, -3.2431217949779696 51.489877356599145, -3.241961714994223 51.48987402178095, -3.2403980613098744 51.4903558010751, -3.2405089046244506 51.49064303618762, -3.2398989556027082 51.49107144420276, -3.237984033084567 51.49057014586111, -3.237270659266859 51.49081999098253, -3.237439822889432 51.49124559299044, -3.23601852447995 51.49147462901362))",5
55,W01001753,"POLYGON ((-3.2517110281297406 51.49126188706072, -3.2513750695600354 51.49113976111761, -3.2487948890485128 51.49160916678642, -3.249201555865344 51.490558800513035, -3.248560213376526 51.489584924078684, -3.2482036303654698 51.48923044702294, -3.249365687062685 51.48908264034157, -3.249176870559567 51.48883653707388, -3.2496760302378487 51.4886120028198, -3.2486593330401847 51.48752686791557, -3.2485569096333617 51.48677763346856, -3.24676218355503 51.48493946041905, -3.25010781254103 51.486067368350454, -3.2515237685269494 51.48745472982107, -3.252456359232004 51.48754716270634, -3.2537375800549064 51.48709732292233, -3.2543113394593717 51.48717524299264, -3.255598932257911 51.48854301349546, -3.2552581663691225 51.48872294076885, -3.2552905380865433 51.48975721668065, -3.256457730427096 51.489681313925075, -3.2551502158743846 51.49012050424443, -3.255844479610265 51.49117599089652, -3.2556263567230808 51.491965869851036, -3.2550282047805754 51.4920069559528, -3.2552289399710537 51.492655896870154, -3.2547903220043435 51.492927679840086, -3.2533007487433534 51.492181552192974, -3.251826036833755 51.4921406301044, -3.251387042532767 51.49206841705048, -3.2517110281297406 51.49126188706072))",1
56,W01001754,"POLYGON ((-3.2359564159960126 51.490850091732426, -3.235597555533573 51.48931605329657, -3.232926657373251 51.49044267996457, -3.231558849017225 51.49071573548302, -3.2296977450318876 51.488436468407556, -3.2285838629316337 51.48735555427545, -3.2280716856123277 51.486884136617014, -3.228871037891845 51.4864303845807, -3.228791468093945 51.48521104085437, -3.2310734097708855 51.48454285317632, -3.232037515497498 51.48395178993909, -3.2330045359814243 51.484413721337354, -3.2334869934419106 51.48467597724354, -3.234701800538744 51.484941652996646, -3.236641672754299 51.48599294089817, -3.239900324440191 51.48597818005557, -3.2401430287902286 51.48691359189123, -3.2395340150306797 51.487372138577655, -3.239797278552952 51.48784752913421, -3.2390255310272114 51.48779593582691, -3.239302547091805 51.48899255247279, -3.2367272915508227 51.488840607203905, -3.2366934944824397 51.4891772446205, -3.2357809978061987 51.489049711711175, -3.236347153804957 51.49014739679781, -3.2369999826548175 51.49018005314485, -3.2373607363388324 51.48987351908603, -3.23751363109772 51.49039310572847, -3.2359564159960126 51.490850091732426))",4
57,W01001755,"POLYGON ((-3.1919811924405317 51.50339273342069, -3.1912235037915675 51.503067732957525, -3.190377018114433 51.503150197593776, -3.1891949191934272 51.50238573278086, -3.1879711735660625 51.50164097464605, -3.187607830006038 51.50143191595203, -3.1881181721070826 51.50111203870286, -3.186539099948637 51.500148127235704, -3.189875671935462 51.49844993406687, -3.1923332850127153 51.497192727754474, -3.1931810183410567 51.497521714350654, -3.1930971916210855 51.497958377953715, -3.1936887072398896 51.498397088241184, -3.193383808768914 51.49864624621493, -3.193693416033741 51.4988781844564, -3.194152918701248 51.49938722571559, -3.194554019547259 51.49985071910523, -3.1943752817043194 51.49995899498224, -3.1943557782451033 51.500452255561775, -3.193432396477131 51.500985417434826, -3.1937599847335982 51.50120226299463, -3.194485276355245 51.50100513427261, -3.1939226637425153 51.501601577982505, -3.1927027029814488 51.50235098711528, -3.191799591087738 51.501907310728775, -3.1911114683395594 51.502265544110266, -3.192264650939967 51.50314921954424, -3.1919811924405317 51.50339273342069))",5
58,W01001756,"POLYGON ((-3.1973571708942594 51.50285164418058, -3.197006539118131 51.50249809452302, -3.1956671279607387 51.50281042392903, -3.195372717563706 51.50196971570732, -3.194628605047672 51.50228884135391, -3.1939226637425153 51.501601577982505, -3.194485276355245 51.50100513427261, -3.1937599847335982 51.50120226299463, -3.193432396477131 51.500985417434826, -3.1943557782451033 51.500452255561775, -3.1943752817043194 51.49995899498224, -3.194554019547259 51.49985071910523, -3.194152918701248 51.49938722571559, -3.193693416033741 51.4988781844564, -3.193383808768914 51.49864624621493, -3.1936887072398896 51.498397088241184, -3.1930971916210855 51.497958377953715, -3.1931810183410567 51.497521714350654, -3.1923332850127153 51.497192727754474, -3.1914345172929144 51.49569882181543, -3.1921813080232297 51.49591393367882, -3.1930957555368495 51.494825491994845, -3.1958839629793743 51.49534570556967, -3.196555989284837 51.496305479784056, -3.198674804669012 51.49729602534413, -3.2004894619334894 51.49748016138978, -3.2093545163657033 51.49699684023192, -3.2079375257510554 51.49837016527225, -3.20732314801427 51.49976321659789, -3.207232273661358 51.49992727180759, -3.205509230546863 51.501475064817555, -3.2042300441699623 51.50208044279234, -3.201783927701189 51.5031834967886, -3.198449236229206 51.504716973125674, -3.197484033338932 51.50514265327932, -3.197434129288526 51.50474890419006, -3.19815602334144 51.50425596776906, -3.197798873077205 51.50357475757368, -3.1969601022799865 51.50353974774335, -3.1968350686988747 51.50316252799488, -3.1973571708942594 51.50285164418058))",3
59,W01001757,"POLYGON ((-3.188350111883501 51.50351137824184, -3.1891949191934272 51.50238573278086, -3.190377018114433 51.503150197593776, -3.1912235037915675 51.503067732957525, -3.1919811924405317 51.50339273342069, -3.192264650939967 51.50314921954424, -3.1911114683395594 51.502265544110266, -3.191799591087738 51.501907310728775, -3.1927027029814488 51.50235098711528, -3.1939226637425153 51.501601577982505, -3.194628605047672 51.50228884135391, -3.195372717563706 51.50196971570732, -3.1956671279607387 51.50281042392903, -3.197006539118131 51.50249809452302, -3.1973571708942594 51.50285164418058, -3.1968350686988747 51.50316252799488, -3.1969601022799865 51.50353974774335, -3.197798873077205 51.50357475757368, -3.19815602334144 51.50425596776906, -3.197434129288526 51.50474890419006, -3.197484033338932 51.50514265327932, -3.194725588700435 51.50580197612029, -3.1928487266714303 51.50579476413233, -3.1903982615843316 51.505484843694546, -3.1916936798559186 51.50465382845618, -3.191715158172203 51.50429861023597, -3.1901131893184025 51.50416067797007, -3.1904709439455705 51.503641640166386, -3.188350111883501 51.50351137824184))",4
60,W01001758,"POLYGON ((-3.184044283263553 51.50007872247557, -3.1843186230983624 51.49866062040901, -3.186539099948637 51.500148127235704, -3.1881181721070826 51.50111203870286, -3.187607830006038 51.50143191595203, -3.1879711735660625 51.50164097464605, -3.1891949191934272 51.50238573278086, -3.188350111883501 51.50351137824184, -3.1904709439455705 51.503641640166386, -3.1901131893184025 51.50416067797007, -3.191715158172203 51.50429861023597, -3.1916936798559186 51.50465382845618, -3.1903982615843316 51.505484843694546, -3.183371467673652 51.50457328779557, -3.1835894993707154 51.50322583788309, -3.1838001586155795 51.50173148738708, -3.1839057806008504 51.50101251016121, -3.184044283263553 51.50007872247557))",4
61,W01001759,"POLYGON ((-3.19343777851097 51.473220840260915, -3.1922163700887225 51.471506644533555, -3.192622201864803 51.47121679758735, -3.191936566526609 51.470568420024925, -3.192393150079496 51.46950255648766, -3.1908103606077685 51.468698696779626, -3.1909007821443933 51.467691210789155, -3.190470805206574 51.467548299033446, -3.1894912929341372 51.46813127192429, -3.1888125432196213 51.46681113482662, -3.189253006444178 51.46662312353173, -3.189521292249659 51.46480640167961, -3.1907475937561216 51.46307676279306, -3.19351553220676 51.46395652643489, -3.1980348117767687 51.45842532917566, -3.19970590213085 51.459028683389406, -3.199975069400097 51.45972282353454, -3.2005024863744884 51.45968004354867, -3.2013819350475607 51.45880783146436, -3.2016736761181392 51.45890339297436, -3.201408646783852 51.45809411694816, -3.20289709982971 51.45861884465297, -3.202475900975178 51.459749726768436, -3.203724282918944 51.463053681151194, -3.206930816213391 51.466088785990394, -3.205305964515601 51.46703168476497, -3.2006083773768172 51.47246958531767, -3.1995475080407543 51.472720304561925, -3.1982405245639907 51.47329774082471, -3.1978582714237507 51.472870427796344, -3.196770477573235 51.47312450632588, -3.1981599632964164 51.474911083914584, -3.2004126449792385 51.47582936336351, -3.202584882729201 51.47666854502309, -3.201703476117918 51.47737214759704, -3.198691517633682 51.47695917635513, -3.1950842155987966 51.47661926017817, -3.194403978150077 51.47658498245301, -3.19343777851097 51.473220840260915))",3
62,W01001760,"POLYGON ((-3.181169766933619 51.467516497890685, -3.1795251647032976 51.46687994579962, -3.179485401118555 51.46688427177505, -3.1792459469954433 51.46714962672649, -3.178588510985021 51.467051635199766, -3.17815103739565 51.46657574630658, -3.177394220164232 51.46660133398348, -3.177121427477615 51.466921938571694, -3.1763220018288725 51.46694628363782, -3.1760586506511124 51.467476526979596, -3.1758459940953356 51.46743491536692, -3.1744015703736084 51.46702002094021, -3.173288075658708 51.46560866463286, -3.1733513054239313 51.464846198813596, -3.1747985247703254 51.4636490839464, -3.1767733996233942 51.46286582328025, -3.178473184508219 51.462596244249106, -3.179129138506967 51.461110127289864, -3.179870000372782 51.46217906625298, -3.1798208486995136 51.46377930456319, -3.1807909256990614 51.46343797243353, -3.181203144949709 51.463576009033254, -3.180166615899253 51.46409520436946, -3.1810903879509844 51.46444013813453, -3.1808901434927463 51.46469935211842, -3.181593910644753 51.46493240823737, -3.1811799436881296 51.46541544976501, -3.1808197283603405 51.46560686296349, -3.181948742091685 51.465966648838254, -3.181006067839852 51.4669982332142, -3.181417825297599 51.467225788521006, -3.181169766933619 51.467516497890685))",2
63,W01001761,"POLYGON ((-3.18880997980907 51.46845535603091, -3.1881230374589227 51.46708800950653, -3.1876357782168685 51.46717658201123, -3.1877576809467993 51.46748312232933, -3.1862751124552138 51.46775870315137, -3.1861086847866913 51.467508846573274, -3.1853223961273223 51.467645348511255, -3.185162727322077 51.46738304035868, -3.1838927418223477 51.46761606777816, -3.1837958518278002 51.467313496269675, -3.18165798687922 51.467765078359406, -3.181169766933619 51.467516497890685, -3.181417825297599 51.467225788521006, -3.181006067839852 51.4669982332142, -3.181948742091685 51.465966648838254, -3.1808197283603405 51.46560686296349, -3.1811799436881296 51.46541544976501, -3.181593910644753 51.46493240823737, -3.1808901434927463 51.46469935211842, -3.1810903879509844 51.46444013813453, -3.1817510689376856 51.46401143359731, -3.1830650329098136 51.46451402983832, -3.183281751079638 51.465018871273564, -3.1831063366950416 51.46540091115992, -3.184354145166649 51.46539823790147, -3.183933853311063 51.46424310692517, -3.184024277741944 51.464136565216876, -3.1853956841653916 51.46519577717604, -3.18607127150995 51.465384909535295, -3.1866355463493634 51.46526828409077, -3.1866794593281975 51.46492866689219, -3.187791220716289 51.464707050288425, -3.1888125432196213 51.46681113482662, -3.1894912929341372 51.46813127192429, -3.18880997980907 51.46845535603091))",1
64,W01001762,"POLYGON ((-3.1853956841653916 51.46519577717604, -3.184024277741944 51.464136565216876, -3.183933853311063 51.46424310692517, -3.184354145166649 51.46539823790147, -3.1831063366950416 51.46540091115992, -3.183281751079638 51.465018871273564, -3.1830650329098136 51.46451402983832, -3.1817510689376856 51.46401143359731, -3.1810903879509844 51.46444013813453, -3.180166615899253 51.46409520436946, -3.181203144949709 51.463576009033254, -3.1807909256990614 51.46343797243353, -3.183403342546361 51.46271234239712, -3.1845222795620693 51.46222565449613, -3.182324581936493 51.4585214151165, -3.1828367702553955 51.458385037172015, -3.1837982726380734 51.4597369644406, -3.186174691025164 51.45969227728644, -3.1869843683713484 51.46135223256129, -3.1864104303720895 51.46197848762828, -3.187791220716289 51.464707050288425, -3.1866794593281975 51.46492866689219, -3.1866355463493634 51.46526828409077, -3.18607127150995 51.465384909535295, -3.1853956841653916 51.46519577717604))",1
65,W01001764,"POLYGON ((-3.1822107759996032 51.4755907156709, -3.181331423561987 51.47026277825964, -3.182390451603247 51.47031597123599, -3.1829991470856758 51.471401091663154, -3.183595666849336 51.471196528552596, -3.184640670317291 51.47201341115184, -3.184437540007503 51.472179485550825, -3.184674607608739 51.47302538926235, -3.184159083428632 51.47317081793885, -3.184261361353851 51.473634667751234, -3.1853226118925035 51.473553274741995, -3.1858958483848676 51.47363832291156, -3.1860231411920363 51.47429944038412, -3.1861891106216085 51.4750909791666, -3.186457621725813 51.474726390665346, -3.187294459725185 51.47526602266565, -3.1871935855357556 51.47384891642679, -3.1883769403790594 51.47412388644527, -3.1882108160423956 51.47441616268638, -3.188760433298776 51.4747207855515, -3.1898476051868907 51.473910741962484, -3.1901338879780887 51.473760089469856, -3.1917185270887356 51.47461477985855, -3.192576308434 51.47322034530561, -3.19343777851097 51.473220840260915, -3.194403978150077 51.47658498245301, -3.1936424629865674 51.476530316376305, -3.1896909077774067 51.476143024553494, -3.1887159574818695 51.47605108061719, -3.1848168162556645 51.47571000421778, -3.1822107759996032 51.4755907156709))",1
66,W01001765,"POLYGON ((-3.184674607608739 51.47302538926235, -3.184437540007503 51.472179485550825, -3.184640670317291 51.47201341115184, -3.183595666849336 51.471196528552596, -3.1829991470856758 51.471401091663154, -3.182390451603247 51.47031597123599, -3.181331423561987 51.47026277825964, -3.1802931445513987 51.468812259072905, -3.178473414355562 51.46801992022785, -3.1760586506511124 51.467476526979596, -3.1763220018288725 51.46694628363782, -3.177121427477615 51.466921938571694, -3.177394220164232 51.46660133398348, -3.17815103739565 51.46657574630658, -3.178588510985021 51.467051635199766, -3.1792459469954433 51.46714962672649, -3.179485401118555 51.46688427177505, -3.1795251647032976 51.46687994579962, -3.181169766933619 51.467516497890685, -3.18165798687922 51.467765078359406, -3.1817332763289765 51.468302999541386, -3.182498547424641 51.46856942971414, -3.181793532116091 51.469055871617044, -3.182397610916192 51.46946088266821, -3.183680889819053 51.47071441962042, -3.1850143320332136 51.46987746183581, -3.18541573685032 51.47009431298821, -3.1858627255910728 51.46991524065479, -3.1861994211809215 51.46993850431443, -3.1858362567348646 51.47083880072609, -3.186183484621474 51.47110296884287, -3.186691200623282 51.47224444639909, -3.1862687140779933 51.47278596356249, -3.185165527581781 51.47276381094085, -3.1853226118925035 51.473553274741995, -3.184261361353851 51.473634667751234, -3.184159083428632 51.47317081793885, -3.184674607608739 51.47302538926235))",2
67,W01001766,"POLYGON ((-3.187294459725185 51.47526602266565, -3.186457621725813 51.474726390665346, -3.1861891106216085 51.4750909791666, -3.1860231411920363 51.47429944038412, -3.1858958483848676 51.47363832291156, -3.1853226118925035 51.473553274741995, -3.185165527581781 51.47276381094085, -3.1862687140779933 51.47278596356249, -3.186691200623282 51.47224444639909, -3.1872773805803596 51.47212762263857, -3.188248949522804 51.4726972418127, -3.189026127046485 51.47218744528827, -3.189314208932096 51.472352591361116, -3.188326742743906 51.4730650732543, -3.188672961967816 51.473229415756315, -3.1905180598832206 51.47200342606271, -3.190338964806783 51.47166242877339, -3.190963776213282 51.47144195146983, -3.190473960633943 51.47084716858537, -3.191936566526609 51.470568420024925, -3.192622201864803 51.47121679758735, -3.1922163700887225 51.471506644533555, -3.19343777851097 51.473220840260915, -3.192576308434 51.47322034530561, -3.1917185270887356 51.47461477985855, -3.1901338879780887 51.473760089469856, -3.1898476051868907 51.473910741962484, -3.188760433298776 51.4747207855515, -3.1882108160423956 51.47441616268638, -3.1883769403790594 51.47412388644527, -3.1871935855357556 51.47384891642679, -3.187294459725185 51.47526602266565))",1
68,W01001767,"POLYGON ((-3.189314208932096 51.472352591361116, -3.189026127046485 51.47218744528827, -3.188248949522804 51.4726972418127, -3.1872773805803596 51.47212762263857, -3.186691200623282 51.47224444639909, -3.186183484621474 51.47110296884287, -3.1858362567348646 51.47083880072609, -3.1861994211809215 51.46993850431443, -3.187975732019007 51.469039296701034, -3.1876090824588403 51.468805958038125, -3.1865504451858633 51.468943725255414, -3.186616133510938 51.46935574551544, -3.186148529513998 51.46952345673424, -3.1859512973783337 51.46873889115941, -3.186450471376848 51.468644055575105, -3.1864473419067343 51.4683491964955, -3.1882028045931534 51.46811625718817, -3.1877576809467993 51.46748312232933, -3.1876357782168685 51.46717658201123, -3.1881230374589227 51.46708800950653, -3.18880997980907 51.46845535603091, -3.1894912929341372 51.46813127192429, -3.190470805206574 51.467548299033446, -3.1909007821443933 51.467691210789155, -3.1908103606077685 51.468698696779626, -3.192393150079496 51.46950255648766, -3.191936566526609 51.470568420024925, -3.190473960633943 51.47084716858537, -3.190963776213282 51.47144195146983, -3.190338964806783 51.47166242877339, -3.1905180598832206 51.47200342606271, -3.188672961967816 51.473229415756315, -3.188326742743906 51.4730650732543, -3.189314208932096 51.472352591361116))",1
69,W01001768,"POLYGON ((-3.183680889819053 51.47071441962042, -3.182397610916192 51.46946088266821, -3.181793532116091 51.469055871617044, -3.182498547424641 51.46856942971414, -3.1817332763289765 51.468302999541386, -3.18165798687922 51.467765078359406, -3.1837958518278002 51.467313496269675, -3.1838927418223477 51.46761606777816, -3.185162727322077 51.46738304035868, -3.1853223961273223 51.467645348511255, -3.1861086847866913 51.467508846573274, -3.1862751124552138 51.46775870315137, -3.1877576809467993 51.46748312232933, -3.1882028045931534 51.46811625718817, -3.1864473419067343 51.4683491964955, -3.186450471376848 51.468644055575105, -3.1859512973783337 51.46873889115941, -3.186148529513998 51.46952345673424, -3.186616133510938 51.46935574551544, -3.1865504451858633 51.468943725255414, -3.1876090824588403 51.468805958038125, -3.187975732019007 51.469039296701034, -3.1861994211809215 51.46993850431443, -3.1858627255910728 51.46991524065479, -3.18541573685032 51.47009431298821, -3.1850143320332136 51.46987746183581, -3.183680889819053 51.47071441962042))",1
70,W01001769,"POLYGON ((-3.1869136483735274 51.520260244746595, -3.185283235381353 51.51933213870349, -3.1836163355497784 51.51776880351307, -3.181696256848083 51.518515943915276, -3.181694904957697 51.51845314396429, -3.181489880999945 51.51624787364808, -3.1812233235874112 51.515223707192256, -3.1818228336770336 51.515228275694206, -3.1819886074891826 51.51370407435038, -3.1827079726067597 51.51350169340188, -3.18335216097813 51.51345211921736, -3.185006731237354 51.51612399060386, -3.1902933957647104 51.5143984397421, -3.1908315714667275 51.514931031124796, -3.1902570357147706 51.515202546798506, -3.1906524990478617 51.51561644778635, -3.189315053392866 51.516009846672304, -3.188846747284672 51.516228554880804, -3.189579032491425 51.51697735466317, -3.190125205301322 51.51681789032712, -3.1910019251047412 51.517411148662006, -3.1913923887413658 51.51803421737143, -3.189825358577813 51.518676270815924, -3.190590779590573 51.51901844831462, -3.191668724146107 51.519007131312314, -3.192421349547959 51.518104520157486, -3.1931019764380477 51.51811309072493, -3.193129273960424 51.51929972228138, -3.1925760605247437 51.51935262846867, -3.1925643097113046 51.51965312143154, -3.1912424259629937 51.51958390275529, -3.1920062173186827 51.52164998540998, -3.18963943447308 51.521245587274954, -3.186992692708141 51.5202945786615, -3.1869136483735274 51.520260244746595))",5
71,W01001770,"POLYGON ((-3.185006731237354 51.51612399060386, -3.18335216097813 51.51345211921736, -3.1827079726067597 51.51350169340188, -3.1819886074891826 51.51370407435038, -3.1818228336770336 51.515228275694206, -3.1812233235874112 51.515223707192256, -3.180430675330329 51.512822064922474, -3.1796757055447475 51.51061529620115, -3.179121505364818 51.50890275803223, -3.1787983555420105 51.50792383845776, -3.1773372231687405 51.50348234616094, -3.183371467673652 51.50457328779557, -3.1903982615843316 51.505484843694546, -3.1928487266714303 51.50579476413233, -3.1920093058228134 51.50612598308918, -3.1914950271100677 51.50850506836997, -3.1923862312471187 51.508548783143, -3.192572938876113 51.50950120246595, -3.1920906074921533 51.51144835463755, -3.192461169641483 51.51294623054358, -3.19235987919159 51.51346844786525, -3.1902933957647104 51.5143984397421, -3.185006731237354 51.51612399060386))",4
