,small_area,geometry,WIMD 2025 overall quintile
10,W01001706,"POLYGON ((-3.224299713651112 51.48067264574331, -3.2233443114389617 51.48003895341812, -3.222203235267802 51.47902198826823, -3.220051912132798 51.4764833089135, -3.219126861703442 51.475492319087465, -3.2182303606000193 51.47467243266355, -3.220938089858549 51.47494076833919, -3.222017141537427 51.475316458441306, -3.2246906443844767 51.4750124257859, -3.2267901268629315 51.47674153305968, -3.2301540662874957 51.47714017327503, -3.232259091487441 51.479645786713164, -3.2329509391591893 51.47964437556117, -3.2337238257214302 51.48010956362552, -3.234614389075136 51.47959823036253, -3.234862019566654 51.47986102907414, -3.235279662443735 51.48036186064646, -3.2349969223221087 51.480607703263836, -3.2365304480245354 51.48137904593589, -3.2364872361441663 51.481404274538406, -3.236118320521587 51.48161973663262, -3.2326822600700025 51.483520765252436, -3.232037515497498 51.48395178993909, -3.2283060506825385 51.48429758806266, -3.2271387377546645 51.48262488215767, -3.224299713651112 51.48067264574331))",2
11,W01001707,"POLYGON ((-3.234862019566654 51.47986102907414, -3.234614389075136 51.47959823036253, -3.2337238257214302 51.48010956362552, -3.2329509391591893 51.47964437556117, -3.232259091487441 51.479645786713164, -3.2301540662874957 51.47714017327503, -3.2267901268629315 51.47674153305968, -3.2246906443844767 51.4750124257859, -3.222017141537427 51.475316458441306, -3.220938089858549 51.47494076833919, -3.2246686863581986 51.47480979203133, -3.2297393250989663 51.47337528986654, -3.232396187070166 51.47390535936262, -3.2331888860472358 51.474466197100895, -3.2365166582750815 51.47429936712732, -3.236338712833122 51.47479597310852, -3.233961093731011 51.475827548271006, -3.235128336346149 51.47622703463807, -3.2351084260480825 51.476905724248844, -3.2379395985035737 51.475139828104695, -3.2381693753861254 51.4754899641024, -3.236225554232061 51.476799363104135, -3.236822341117987 51.47720583580617, -3.238267844593188 51.47631277645129, -3.2384111566248466 51.47678990966479, -3.2379981935915936 51.4769846312493, -3.238648404630447 51.477248034825834, -3.2399879330248056 51.47672325638866, -3.2400513382050873 51.47670322602472, -3.2419523813170357 51.47652769404054, -3.2433154222133553 51.47603889283414, -3.2421730778441273 51.47545176193549, -3.2419208037005562 51.47491949947475, -3.2394305418944342 51.47551607980342, -3.2385995401895706 51.47482770145799, -3.239821086363142 51.47434299375659, -3.240031213240574 51.47427628088226, -3.2406031624627945 51.47333067619722, -3.2412539740536848 51.47363825454215, -3.2436135651548392 51.47320013790013, -3.2439660441696576 51.473847525293365, -3.244724506679481 51.47371152781635, -3.2453613867594187 51.47462813214593, -3.244931765833584 51.47505802470424, -3.245789793115488 51.476064733466586, -3.2465435545681185 51.47603242485634, -3.2468816465002592 51.47645406898726, -3.2415505186600986 51.47844277120839, -3.2399063198094122 51.479308591046546, -3.2389215827680014 51.479959096368916, -3.2365304480245354 51.48137904593589, -3.2349969223221087 51.480607703263836, -3.235279662443735 51.48036186064646, -3.234862019566654 51.47986102907414))",1
12,W01001708,"POLYGON ((-3.2468816465002592 51.47645406898726, -3.2465435545681185 51.47603242485634, -3.245789793115488 51.476064733466586, -3.244931765833584 51.47505802470424, -3.2453613867594187 51.47462813214593, -3.244724506679481 51.47371152781635, -3.2439660441696576 51.473847525293365, -3.2436135651548392 51.47320013790013, -3.2434191480466814 51.47272383590909, -3.2462238565471444 51.47212011377749, -3.2466667854977733 51.47248075755809, -3.245739088775746 51.472958310189796, -3.2465409342790172 51.47349066334447, -3.247717329358148 51.47385537661098, -3.24798590803653 51.47442244205368, -3.2486627475057253 51.47435520351075, -3.2491076626814994 51.474028120166864, -3.2488214101488606 51.473797549184816, -3.2503043515837504 51.47312075098325, -3.249292993995102 51.47266876964818, -3.2491019148033864 51.47195307463871, -3.249099540592949 51.47142766232065, -3.2486011763532856 51.47116949727432, -3.248257508515301 51.4711402734672, -3.250611621666715 51.47019811742852, -3.2518663757638007 51.470135080009676, -3.2523651274173435 51.4704323602428, -3.254646390756924 51.47024575154061, -3.255737894859038 51.470253028648095, -3.255995088173519 51.47035344744953, -3.2534742433448605 51.47172214150233, -3.2536988067472867 51.47208753042824, -3.254196528693972 51.47225130538376, -3.2547012857191353 51.47200338570167, -3.254451999271331 51.471673898471224, -3.255050052930338 51.471351703123844, -3.2560634558211508 51.47188995866224, -3.256200308613702 51.47252247245744, -3.256923828415176 51.47289877407821, -3.2562517267101296 51.47328768816479, -3.253179098232583 51.47443279277387, -3.2525710849807834 51.474634893283586, -3.2509953656467863 51.47517465252511, -3.2471348864455103 51.47636049340112, -3.2468816465002592 51.47645406898726))",1
13,W01001710,"POLYGON ((-3.2063393775953544 51.483449743036985, -3.2055617964491856 51.4824104991506, -3.206829046024323 51.482097121706964, -3.20693114552706 51.481816052756976, -3.206491886018867 51.48155978074732, -3.207129499289208 51.48120650807529, -3.207148257413724 51.48119836246388, -3.2074075787913716 51.47971223057498, -3.2069803350336485 51.47962539316293, -3.2068221544025293 51.480194336565425, -3.205845611119123 51.480068480627175, -3.2060811381602865 51.47937936139884, -3.205509142653221 51.47904906272944, -3.2065007474665586 51.47918719416944, -3.2068371591991345 51.47868833947966, -3.2087116416352113 51.47923185046017, -3.2084203224334247 51.47970677769706, -3.211228399739102 51.480472733656576, -3.211649163327175 51.48091866549158, -3.2125031038994534 51.48115855415682, -3.21234510314783 51.48225555051672, -3.2137501601120837 51.482383373251764, -3.213686514305106 51.48267209438748, -3.2119639539580542 51.48330466040974, -3.2121676971930166 51.483729976901216, -3.2116910161887726 51.483831109115215, -3.211168981910786 51.4828309166839, -3.2104311501144203 51.48316012431331, -3.2096522942808154 51.48308485256022, -3.2097102829722632 51.482795684958276, -3.2091883911592616 51.48311204504581, -3.2088221105236587 51.48324146741927, -3.2083508744174214 51.48266066233183, -3.2074930461955584 51.48253060202843, -3.2071183934761156 51.483069848974615, -3.2075549278656186 51.48364364296975, -3.2077230632375633 51.483947582955196, -3.2076514601047554 51.483952098937685, -3.2069628768623355 51.48399552878545, -3.2063393775953544 51.483449743036985))",2
14,W01001711,"POLYGON ((-3.2110568043162626 51.479215984001605, -3.207758428474432 51.47821216864086, -3.206763183733705 51.47836479576393, -3.2068371591991345 51.47868833947966, -3.2065007474665586 51.47918719416944, -3.205509142653221 51.47904906272944, -3.204173716239258 51.47892702654383, -3.205071247985559 51.4782074049896, -3.202525009655323 51.47752252140421, -3.201703476117918 51.47737214759704, -3.202584882729201 51.47666854502309, -3.2004126449792385 51.47582936336351, -3.1981599632964164 51.474911083914584, -3.196770477573235 51.47312450632588, -3.1978582714237507 51.472870427796344, -3.1982405245639907 51.47329774082471, -3.1995475080407543 51.472720304561925, -3.2006083773768172 51.47246958531767, -3.205305964515601 51.46703168476497, -3.206930816213391 51.466088785990394, -3.2182303606000193 51.47467243266355, -3.219126861703442 51.475492319087465, -3.2157338978147565 51.47580353485691, -3.2146469667515536 51.475771433270396, -3.213016560320486 51.47625517646655, -3.213737374478135 51.477371709810726, -3.212094881237517 51.47793378589417, -3.212225266689316 51.47829848196075, -3.212831851077003 51.47906257535899, -3.212025324585321 51.479196667656595, -3.2110568043162626 51.479215984001605))",2
15,W01001712,"POLYGON ((-3.2059429434653413 51.48655058357771, -3.205263487278154 51.485924286662396, -3.204884100623829 51.48565614607339, -3.2034342034129364 51.48438455108678, -3.202455686504563 51.48296547631372, -3.202011182665307 51.481979164754065, -3.203645526504721 51.481836846337366, -3.2034981345335702 51.48046962579931, -3.2038821379986637 51.480431674820885, -3.2043161943531624 51.480460828703364, -3.204282808828003 51.481447245452635, -3.2059502559603428 51.4817183781072, -3.2061392298547173 51.48106849307714, -3.2065888657206973 51.48110763918035, -3.2067171801128573 51.48082734363415, -3.207129499289208 51.48120650807529, -3.206491886018867 51.48155978074732, -3.20693114552706 51.481816052756976, -3.206829046024323 51.482097121706964, -3.2055617964491856 51.4824104991506, -3.2063393775953544 51.483449743036985, -3.2069628768623355 51.48399552878545, -3.2076514601047554 51.483952098937685, -3.2077230632375633 51.483947582955196, -3.2075549278656186 51.48364364296975, -3.2071183934761156 51.483069848974615, -3.2074930461955584 51.48253060202843, -3.2083508744174214 51.48266066233183, -3.2088221105236587 51.48324146741927, -3.2091883911592616 51.48311204504581, -3.2097293007725947 51.48418074164138, -3.2085265494780133 51.484529392850774, -3.208139944875939 51.48490944428272, -3.2088670982756144 51.48520855597875, -3.207320982247266 51.485393535787985, -3.208926525679949 51.4861669419251, -3.20692384021151 51.48636155980345, -3.2063787054335706 51.48614014194399, -3.206461184181014 51.48642966967423, -3.2059429434653413 51.48655058357771))",4
16,W01001713,"POLYGON ((-3.2011870179003403 51.48114240045011, -3.200747978177431 51.48009647440075, -3.20073737386576 51.47918074888881, -3.201703476117918 51.47737214759704, -3.202525009655323 51.47752252140421, -3.205071247985559 51.4782074049896, -3.204173716239258 51.47892702654383, -3.205509142653221 51.47904906272944, -3.2060811381602865 51.47937936139884, -3.205845611119123 51.480068480627175, -3.2068221544025293 51.480194336565425, -3.2069803350336485 51.47962539316293, -3.2074075787913716 51.47971223057498, -3.207148257413724 51.48119836246388, -3.207129499289208 51.48120650807529, -3.2067171801128573 51.48082734363415, -3.2065888657206973 51.48110763918035, -3.2061392298547173 51.48106849307714, -3.2059502559603428 51.4817183781072, -3.204282808828003 51.481447245452635, -3.2043161943531624 51.480460828703364, -3.2038821379986637 51.480431674820885, -3.2034981345335702 51.48046962579931, -3.203645526504721 51.481836846337366, -3.202011182665307 51.481979164754065, -3.2019859946937896 51.48189317595912, -3.2011870179003403 51.48114240045011))",3
17,W01001714,"POLYGON ((-3.2155742707270516 51.48918142855649, -3.2156316194151886 51.48848384759449, -3.2160632446747557 51.48847963238582, -3.215998576945642 51.48817554753747, -3.215469666694136 51.48811498700295, -3.21594570571553 51.48785141597061, -3.215496112429998 51.48724919409083, -3.216543279134631 51.48666783081679, -3.2161611089610616 51.486203657377494, -3.2172465912357593 51.48479745509644, -3.217272288338894 51.4846634961176, -3.217611543847084 51.48281094209962, -3.216680908871618 51.48234088337914, -3.2156621701099537 51.4825773466939, -3.21471005195863 51.482406684078505, -3.21515248027009 51.4809428299698, -3.2185208863022874 51.481947907118716, -3.2187720749333786 51.48158184166046, -3.2194939448950253 51.481565163394606, -3.2214409097243255 51.482162696220044, -3.2210300245246275 51.48269682492312, -3.2207172283544643 51.48321026904874, -3.2198446654172317 51.48306730615116, -3.2205229271879876 51.48429606411623, -3.2214888587726485 51.48409051962707, -3.2213433566660608 51.48380434715684, -3.2217829207670765 51.48369040720368, -3.2227282460663886 51.48527829582395, -3.2229283826233455 51.485593749049976, -3.2232497303557306 51.4855142079849, -3.2231832067707566 51.48602220953526, -3.2223479249572513 51.48602830425721, -3.222918864636901 51.48685272037405, -3.2225094160648986 51.48735530583234, -3.2219854766215557 51.48725493261782, -3.2223321345813942 51.48761176101297, -3.2229770280704657 51.48759884049612, -3.2229669132022427 51.488125577000154, -3.2224605480012594 51.48827198620092, -3.222503265281279 51.48854614384902, -3.219416407250512 51.48917749577838, -3.219323222847957 51.48918635981929, -3.2155742707270516 51.48918142855649))",5
18,W01001715,"POLYGON ((-3.211749266992148 51.48867340580686, -3.2090452138633165 51.4882393203701, -3.20720815081833 51.488393562193345, -3.2063906087046163 51.487093002221656, -3.2059429434653413 51.48655058357771, -3.206461184181014 51.48642966967423, -3.2063787054335706 51.48614014194399, -3.20692384021151 51.48636155980345, -3.208926525679949 51.4861669419251, -3.207320982247266 51.485393535787985, -3.2088670982756144 51.48520855597875, -3.208139944875939 51.48490944428272, -3.2085265494780133 51.484529392850774, -3.2097293007725947 51.48418074164138, -3.2107871270999992 51.484960590866024, -3.2112403777455105 51.48498671556184, -3.212544902662221 51.4847910365606, -3.2129101178050843 51.48553096401586, -3.214073438379623 51.4856749874771, -3.214356033164703 51.48602454476774, -3.2139772227350103 51.487534104384, -3.2138288784523263 51.4880738614781, -3.215469666694136 51.48811498700295, -3.215998576945642 51.48817554753747, -3.2160632446747557 51.48847963238582, -3.2156316194151886 51.48848384759449, -3.2155742707270516 51.48918142855649, -3.213983630622892 51.48901958637377, -3.211749266992148 51.48867340580686))",5
19,W01001716,"POLYGON ((-3.2229669132022427 51.488125577000154, -3.2229770280704657 51.48759884049612, -3.2223321345813942 51.48761176101297, -3.2219854766215557 51.48725493261782, -3.2225094160648986 51.48735530583234, -3.222918864636901 51.48685272037405, -3.2223479249572513 51.48602830425721, -3.2231832067707566 51.48602220953526, -3.2232497303557306 51.4855142079849, -3.2229283826233455 51.485593749049976, -3.2227282460663886 51.48527829582395, -3.2217829207670765 51.48369040720368, -3.2213433566660608 51.48380434715684, -3.2214888587726485 51.48409051962707, -3.2205229271879876 51.48429606411623, -3.2198446654172317 51.48306730615116, -3.2207172283544643 51.48321026904874, -3.2210300245246275 51.48269682492312, -3.223310168423156 51.48335518661585, -3.2232090177914383 51.483702512893224, -3.2233256021402843 51.48372804392796, -3.2261747605332607 51.48441070720878, -3.2271387377546645 51.48262488215767, -3.2283060506825385 51.48429758806266, -3.232037515497498 51.48395178993909, -3.2310734097708855 51.48454285317632, -3.228791468093945 51.48521104085437, -3.228871037891845 51.4864303845807, -3.2280716856123277 51.486884136617014, -3.224962840384591 51.48850210377153, -3.222503265281279 51.48854614384902, -3.2224605480012594 51.48827198620092, -3.2229669132022427 51.488125577000154))",5
